DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
BOL,BUN,6,176,739427
BOL,BUN,1097,11691,49903399
BOL,BUN,422,1439,6311044
BOL,BUN,510,9153,38619963
BOL,BUN,953,3987,17142411
BOL,BUN,34,351,1511140
BOL,BUN,3,165,704339
BOL,BUN,4,77,325072
BOL,BUN,8,228,964493
BOL,BUN,10,12,54658
BOL,BUN,62,44,183691
BRA,BOG,1000,10934,46075548
BRA,BOG,21000,28624,122611044
BRA,BOG,13500,3206,13211120
BRA,BOG,45925,19946,87496320
BRA,BOG,3600,396,1737117
BRA,BOG,25375,7196,30573680
BRA,BOG,24000,2688,11254683
BRA,BOG,23400,2117,8944178
BRA,BOG,100,440,1813073
BRA,BOG,252,1134,4672783
BRA,BOG,165,54378,229878028
BRA,BOG,2,1974,8657074
BRA,BOG,20,776,3298839
BRA,BOG,1,16019,68066643
BRA,BOG,102,9157,38906393
BRA,BOG,18,5125,21792089
BRA,BOG,2067,25538,108141273
BRA,BOG,720,2673,11300659
BRA,BOG,51,50,209992
BRA,BOG,1323,42744,176132894
BRA,BOG,77280,6970,29429909
BRA,BOG,1,44872,185835034
BRA,BOG,198,541,2285073
BRA,BOG,2814,12295,51976732
BRA,BOG,294,803,3392988
BRA,BOG,3897,15192,64223566
BRA,BOG,4381,14174,59919871
BRA,BOG,1008,1781,7533616
BRA,BOG,1105,4190,16985011
BRA,BOG,8741,58644,237728134
BRA,BOG,5024,28467,121012356
BRA,BOG,24000,2712,11464682
BRA,BOG,9200,1840,7823846
BRA,BOG,160,616,2619287
BRA,BOG,75,351,1492484
BRA,BOG,3630,12410,52203176
BRA,BOG,120,2430,10280382
BRA,BOG,300,10377,44091873
BRA,BOG,40,1729,7022271
BRA,BOG,2,878,3828469
BRA,BOG,3,1345,5861824
BRA,BOG,83,8029,34137990
BRA,BOG,109,6519,27721331
BRA,BOG,1,1577,6875994
BRA,BOG,375,12177,51313428
BRA,BOG,20,1055,4485105
BRA,BOG,60,1296,5384802
BRA,BOG,2500,1740,7633885
BRA,BOG,1107,26508,116281452
BRA,BOG,3,1786,7783709
BRA,BOG,1,124,539563
BRA,BOG,1,50,203042
BRA,BOG,0,2,10173
BRA,BOG,3,374,1587025
BRA,BOG,500,30,131600
BRA,BOG,8,5,18599
BRA,BOG,4,22,92619
BRA,BOG,0,16,68695
BRA,BOG,36,31,135021
BRA,BOG,0,113,480431
BRA,BOG,0,80,337328
BRA,BOG,1,921,3828569
BRA,BOG,99,561,2382329
BRA,BOG,1000,1888,8021347
BRA,BOG,8,2276,9672340
BRA,BOG,0,20,82144
BRA,BOG,2759,47880,202181594
BRA,BOG,337,31254,132122720
BRA,BOG,2,221707,939783565
BRA,BOG,19700,6842,28912857
BRA,BOG,1248,6480,28104742
BRA,BOG,14,56,245653
BRA,BOG,48,128,561492
BRA,BOG,2352,10930,47451224
BRA,BOG,3178,16679,72392855
BRA,BOG,2500,57300,236111526
BRA,BOG,2,101,429251
BRA,BOG,5,31,134232
BRA,BOG,1481,41912,180000572
BRA,BOG,2,578,2382872
BRA,BOG,2,205,901020
BRA,BOG,4000,15240,64754760
